lat,lon,sta,lin
59,-94,Cape Churchill Peninsula,http://research.amnh.org/users/rfr/hbp/main.html
70,-139,Herschel Island,
68,-108,Walker Bay Research Station,
73,-80,Bylot Island,http://www.cen.ulaval.ca/station.php?id=322&nm=bylot
80,-86,Eureka,
83,-62,Alert,
53,-80,Akimiski Island,
79,18,Sverdrup Research,http://www.coat.no/research/locations/svalbard/
70,30,Varanger Peninsula,http://www.coat.no/research/locations/varanger/
65,14,Borgefjell,
66,16,Vindelfjallen Research Station,http://www.scannet.nu/content/view/93/158/
69,53,Nenetski Zapovednik,http://www.arctic-predators.uit.no/Field%20sites.html#nenetskifieldsite
68,69,Erkuta Tundra Monitoring Site,http://www.arctic-predators.uit.no/Field%20sites.html#yamalfieldsite
74,-21,Zackenberg Research Station,http://zackenberg.dk/
53,-77,Radisson Research Station,http://www.cen.ulaval.ca/station.php?id=320&nm=radisson
55,-77,Whapmagoostui-Kuujuarapik,http://www.cen.ulaval.ca/station.php?id=321&nm=wk
56,-74,Lac Eau Claire,http://www.cen.ulaval.ca/station.php?id=323&nm=lec
56,-76,Umiujaq,http://www.cen.ulaval.ca/station.php?id=325&nm=umiujaq
57,-76,Riviere Boniface,http://www.cen.ulaval.ca/station.php?id=327&nm=boniface
62,-75,Salluit,http://www.cen.ulaval.ca/station.php?id=324&nm=salluit
69,-81,Igloolik,
61,-138,Kluane Lake Research Station,http://arctic.ucalgary.ca/kluane-lake-research-station
64,-82,East Bay,
75,-20,Hochstetter,
73,70,Belyi Island,
72,-24,Karupelv,https://www.karupelv-valley-project.de/english/
71,72,Sabetta,
71,-157,Barrow,
70,16,Ammarnas,
